movieCd,rating
20131541,8.52
20131573,6.29
20131582,7.91
20131630,6.06
20131661,5.05
20131681,8.09
20131691,7.5
20131692,8.35
20131713,
20131821,8.26
20131823,1.33
20131841,7.2
20131862,8.37
20131923,
20131941,
20131984,
20132021,
20132081,5.67
20132082,4.75
20132087,3.38
20132120,9.04
20132164,7.2
20132167,6.75
20132192,
20132241,7.2
20132261,7.42
20132262,7.92
20132341,
20132342,
20132343,
20132344,
20132345,
20132346,
20132347,
20132348,
20132349,
20132350,
20132381,5.54
20132382,8.6
20132461,7.69
20132481,
20132482,
20132518,
20132562,
20132581,
20132601,9.41
20132621,6.21
20132624,7.4
20132641,
20132661,8.87
20132682,6.94
20132721,3.0
20132722,
20132741,7.32
20132742,
20132743,
20132781,10.0
20132795,9.3
20132796,
20132797,7.54
20132799,8.55
20132800,8.87
20132801,7.89
20132803,2.93
20132804,8.9
20132805,8.66
20132806,
20132807,
20132821,
20132824,7.34
20132828,
20132881,
20132902,6.74
20132941,9.15
20132961,
20132962,5.11
20132963,6.83
20132966,3.03
20133021,
20133053,
20133054,
20133055,
20133065,
20133071,9.41
20133081,
20133141,
20133142,7.29
20133145,
20133152,7.19
20133159,8.58
20133322,6.69
20133413,8.67
20133421,
20133425,
20133464,
20133481,8.0
20133531,8.94
20133569,3.13
20133570,3.26
20133585,8.17
20133601,8.41
20133602,6.07
20133603,7.44
20133641,6.79
20133661,
20133667,
20133681,4.03
20133682,6.61
20133701,8.14
20133702,
20133703,7.37
20133704,8.85
20133705,5.5
20133756,9.0
20133759,7.21
20133760,8.54
20133771,
20133772,
20133773,
20133789,8.63
20133791,8.21
20133803,8.24
20133805,
20133811,8.14
20133834,0.0
20133862,8.25
20133863,8.66
20133881,8.41
20133882,7.91
20133898,
20133922,
20133923,
20133924,
20133955,8.43
20133965,10.0
20133967,0.0
20133980,
20133981,
20134001,6.67
20134004,4.6
20134005,3.8
20134027,7.08
20134028,
20134041,5.69
20134042,7.42
20134044,6.68
20134046,8.7
20134047,8.5
20134061,8.21
20134062,8.88
20134066,4.68
20134068,
20134069,
20134070,9.04
20134072,6.75
20134073,8.56
20134082,6.84
20134083,
20134102,5.13
20134103,7.03
20134104,8.42
20134121,6.61
20134122,8.8
20134123,
20134124,6.75
20134126,5.8
20134141,7.97
20134143,6.13
20134144,8.11
20134161,9.83
20134162,7.29
20134181,8.24
20134182,7.62
20134202,10.0
20134206,
20134222,8.12
20134233,5.99
20134244,8.95
20134267,8.49
20134268,8.6
20134269,2.0
20134271,0.0
20134272,9.07
20134288,
20134341,9.25
20134357,7.18
20134358,7.0
20134360,3.25
20134362,9.05
20134370,8.14
20134374,7.69
20134375,9.09
20134381,4.6
20134382,
20134388,
20134407,
20134413,
20134414,0.0
20134415,5.5
20134417,0.0
20134436,8.19
20134457,7.59
20134462,6.99
20134474,7.61
20134484,8.5
20134485,7.3
20134501,0.0
20134502,
20134512,
20134532,
20134533,7.58
20134534,9.35
20134562,8.16
20134581,7.75
20134582,
20134583,8.55
20134585,6.81
20134586,7.54
20134587,8.01
20134588,6.96
20134589,
20134590,
20134591,
20134592,8.94
20134594,7.05
20134601,8.89
20134602,7.68
20134603,8.19
20134606,5.61
20134609,7.23
20134621,8.86
20134645,
20134651,
20134658,
20134681,
20134694,
20134701,
20134702,6.43
20134703,8.42
20134704,7.57
20134705,3.5
20134726,8.75
20134741,0.0
20134742,6.0
20134743,2.0
20134744,
20134745,4.0
20134751,
20134764,
20134776,
20134789,
20134798,9.0
20134799,9.28
20134800,8.69
20134801,6.23
20134803,8.98
20134804,7.26
20134813,0.0
20134836,
20134861,8.08
20134869,7.37
20134874,
20134877,
20134927,
20134933,7.5
20134942,7.67
20134962,
20134983,9.02
20134984,9.0
20135001,8.75
20135066,6.75
20135073,10.0
20135088,6.25
20135114,
20135141,
20135142,
20135207,
20135221,8.81
20135241,8.52
20135242,6.79
20135264,4.77
20135275,
20135278,7.86
20135280,6.09
20135305,8.04
20135343,7.13
20135362,
20135365,
20135366,
20135367,
20135368,
20135369,
20135370,8.34
20135382,4.46
20135383,6.33
20135386,7.77
20135401,8.44
20135402,
20135405,8.16
20135426,7.39
20135427,
20135428,9.16
20135443,7.33
20135462,10.0
20135463,7.84
20135464,6.76
20135502,0.0
20135503,10.0
20135504,
20135505,
20135521,9.25
20135534,
20135541,6.92
20135542,8.05
20135543,7.82
20135544,8.23
20135545,
20135581,8.47
20135582,6.85
20135584,8.0
20135585,5.71
20135586,
20135602,3.12
20135626,
20135635,8.13
20135636,7.67
20135642,7.67
20135656,7.09
20135657,7.23
20135661,7.76
20135704,
20135743,
20135745,
20135764,
20135765,4.79
20135766,5.07
20135767,7.48
20135770,5.44
20135800,9.17
20135829,3.6
20135837,9.03
20135838,6.36
20135891,7.27
20135898,7.85
20135907,5.89
20135915,6.2
20135922,
20135941,
20135942,6.63
20135943,7.15
20135946,9.02
20135956,0.0
20135959,0.0
20135970,0.0
20135974,
20136000,9.17
20136016,7.94
20136018,
20136022,
20136041,
20136043,
20136049,6.8
20136052,8.27
20136057,7.96
20136058,7.2
20136059,
20136060,
20136061,7.02
20136062,7.75
20136063,6.27
20136064,8.27
20136068,
20136098,
20136132,
20136138,
